 SLIQ, KRLIQ, KRGAS
   3.8554217E-01,   3.5692771E-01,   6.4307229E-01
   3.8955823E-01,   3.6194779E-01,   6.3805221E-01
   3.9357430E-01,   3.6696787E-01,   6.3303213E-01
   3.9759036E-01,   3.7198795E-01,   6.2801205E-01
   4.0160643E-01,   3.7700803E-01,   6.2299197E-01
   4.0562249E-01,   3.8202811E-01,   6.1797189E-01
   4.0963855E-01,   3.8704819E-01,   6.1295181E-01
   4.1365462E-01,   3.9206827E-01,   6.0793173E-01
   4.1767068E-01,   3.9708835E-01,   6.0291165E-01
   4.2168675E-01,   4.0210843E-01,   5.9789157E-01
   4.2570281E-01,   4.0712851E-01,   5.9287149E-01
   4.2971888E-01,   4.1214859E-01,   5.8785141E-01
   4.3373494E-01,   4.1716867E-01,   5.8283133E-01
   4.3775100E-01,   4.2218876E-01,   5.7781124E-01
   4.4176707E-01,   4.2720884E-01,   5.7279116E-01
   4.4578313E-01,   4.3222892E-01,   5.6777108E-01
   4.4979920E-01,   4.3724900E-01,   5.6275100E-01
   4.5381526E-01,   4.4226908E-01,   5.5773092E-01
   4.5783133E-01,   4.4728916E-01,   5.5271084E-01
   4.6184739E-01,   4.5230924E-01,   5.4769076E-01
   4.6586345E-01,   4.5732932E-01,   5.4267068E-01
   4.6987952E-01,   4.6234940E-01,   5.3765060E-01
   4.7389558E-01,   4.6736948E-01,   5.3263052E-01
   4.7791165E-01,   4.7238956E-01,   5.2761044E-01
   4.8192771E-01,   4.7740964E-01,   5.2259036E-01
   4.8594378E-01,   4.8242972E-01,   5.1757028E-01
   4.8995984E-01,   4.8744980E-01,   5.1255020E-01
   4.9397590E-01,   4.9246988E-01,   5.0753012E-01
   4.9799197E-01,   4.9748996E-01,   5.0251004E-01
   5.0200803E-01,   5.0251004E-01,   4.9748996E-01
   5.0602410E-01,   5.0753012E-01,   4.9246988E-01
   5.1004016E-01,   5.1255020E-01,   4.8744980E-01
   5.1405622E-01,   5.1757028E-01,   4.8242972E-01
   5.1807229E-01,   5.2259036E-01,   4.7740964E-01
   5.2208835E-01,   5.2761044E-01,   4.7238956E-01
   5.2610442E-01,   5.3263052E-01,   4.6736948E-01
   5.3012048E-01,   5.3765060E-01,   4.6234940E-01
   5.3413655E-01,   5.4267068E-01,   4.5732932E-01
   5.3815261E-01,   5.4769076E-01,   4.5230924E-01
   5.4216867E-01,   5.5271084E-01,   4.4728916E-01
   5.4618474E-01,   5.5773092E-01,   4.4226908E-01
   5.5020080E-01,   5.6275100E-01,   4.3724900E-01
   5.5421687E-01,   5.6777108E-01,   4.3222892E-01
   5.5823293E-01,   5.7279116E-01,   4.2720884E-01
   5.6224900E-01,   5.7781124E-01,   4.2218876E-01
   5.6626506E-01,   5.8283133E-01,   4.1716867E-01
   5.7028112E-01,   5.8785141E-01,   4.1214859E-01
   5.7429719E-01,   5.9287149E-01,   4.0712851E-01
   5.7831325E-01,   5.9789157E-01,   4.0210843E-01
   5.8232932E-01,   6.0291165E-01,   3.9708835E-01
   5.8634538E-01,   6.0793173E-01,   3.9206827E-01
   5.9036145E-01,   6.1295181E-01,   3.8704819E-01
   5.9437751E-01,   6.1797189E-01,   3.8202811E-01
   5.9839357E-01,   6.2299197E-01,   3.7700803E-01
   6.0240964E-01,   6.2801205E-01,   3.7198795E-01
   6.0642570E-01,   6.3303213E-01,   3.6696787E-01
   6.1044177E-01,   6.3805221E-01,   3.6194779E-01
   6.1445783E-01,   6.4307229E-01,   3.5692771E-01
   6.1847390E-01,   6.4809237E-01,   3.5190763E-01
   6.2248996E-01,   6.5311245E-01,   3.4688755E-01
   6.2650602E-01,   6.5813253E-01,   3.4186747E-01
   6.3052209E-01,   6.6315261E-01,   3.3684739E-01
   6.3453815E-01,   6.6817269E-01,   3.3182731E-01
   6.3855422E-01,   6.7319277E-01,   3.2680723E-01
   6.4257028E-01,   6.7821285E-01,   3.2178715E-01
   6.4658635E-01,   6.8323293E-01,   3.1676707E-01
   6.5060241E-01,   6.8825301E-01,   3.1174699E-01
   6.5461847E-01,   6.9327309E-01,   3.0672691E-01
   6.5863454E-01,   6.9829317E-01,   3.0170683E-01
   6.6265060E-01,   7.0331325E-01,   2.9668675E-01
   6.6666667E-01,   7.0833333E-01,   2.9166667E-01
   6.7068273E-01,   7.1335341E-01,   2.8664659E-01
   6.7469880E-01,   7.1837349E-01,   2.8162651E-01
   6.7871486E-01,   7.2339357E-01,   2.7660643E-01
   6.8273092E-01,   7.2841365E-01,   2.7158635E-01
   6.8674699E-01,   7.3343373E-01,   2.6656627E-01
